,,MAP_Score,P@5_Score,NDCG_Score
bm25,206,0.0,0.0,0.0
bm25,208,0.0,0.0,0.0
bm25,209,0.0,0.0,0.0
bm25,210,0.0023,0.0,0.0459
bm25,211,0.0348,0.0,0.1946
bm25,212,0.1527,0.2,0.3755
bm25,213,0.0756,0.0,0.2663
bm25,214,0.0336,0.0,0.1781
bm25,215,0.0,0.0,0.0
bm25,216,0.0,0.0,0.0
bm25,217,0.0007,0.0,0.0373
bm25,218,0.0,0.0,0.0
bm25,219,0.0,0.0,0.0
bm25,223,0.0,0.0,0.0
bm25,224,0.0,0.0,0.0
bm25,225,0.022,0.0,0.1411
bm25_lm,100,0.0,0.0,0.0
bm25_lm,101,0.0,0.0,0.0
bm25_lm,102,0.0,0.0,0.0
bm25_lm,103,0.0,0.0,0.0
bm25_lm,104,0.0,0.0,0.0
bm25_lm,105,0.0,0.0,0.0
bm25_lm,106,0.0,0.0,0.0
bm25_lm,107,0.0,0.0,0.0
bm25_lm,108,0.0,0.0,0.0
bm25_lm,109,0.0,0.0,0.0
bm25_lm,110,0.0,0.0,0.0
bm25_lm,111,0.0,0.0,0.0
bm25_lm,112,0.0,0.0,0.0
bm25_lm,113,0.0208,0.0,0.1055
bm25_lm,114,0.0,0.0,0.0
bm25_lm,116,0.0,0.0,0.0
bm25_lm,118,0.0,0.0,0.0
bm25_lm,119,0.0,0.0,0.0
bm25_lm,120,0.0,0.0,0.0
bm25_lm,121,0.0,0.0,0.0
bm25_lm,122,0.0,0.0,0.0
bm25_lm,123,0.0,0.0,0.0
bm25_lm,126,0.0,0.0,0.0
bm25_lm,128,0.0,0.0,0.0
bm25_lm,130,0.0023,0.0,0.0549
bm25_lm,131,0.0,0.0,0.0
bm25_lm,132,0.0,0.0,0.0
bm25_lm,133,0.0044,0.0,0.0389
bm25_lm,135,0.0,0.0,0.0
bm25_lm,136,0.0,0.0,0.0
bm25_lm,137,0.0,0.0,0.0
bm25_lm,138,0.0,0.0,0.0
bm25_lm,139,0.0,0.0,0.0
bm25_lm,140,0.0017,0.0,0.0165
bm25_lm,141,0.0,0.0,0.0
bm25_lm,142,0.0,0.0,0.0
bm25_lm,143,0.0,0.0,0.0
bm25_lm,145,0.0,0.0,0.0
bm25_lm,146,0.0,0.0,0.0
bm25_lm,147,0.0,0.0,0.0
bm25_lm,148,0.0,0.0,0.0
bm25_lm,149,0.1493,0.0,0.3611
bm25_lm,150,0.0,0.0,0.0
bm25_lm,152,0.0,0.0,0.0
bm25_lm,153,0.0017,0.0,0.0477
bm25_lm,154,0.0,0.0,0.0
bm25_lm,155,0.0,0.0,0.0
bm25_lm,156,0.0,0.0,0.0
bm25_lm,157,0.0004,0.0,0.01
bm25_lm,158,0.0,0.0,0.0
bm25_lm,160,0.0022,0.0,0.044
bm25_lm,161,0.0,0.0,0.0
bm25_lm,163,0.0,0.0,0.0
bm25_lm,164,0.0,0.0,0.0
bm25_lm,165,0.0,0.0,0.0
bm25_lm,167,0.0,0.0,0.0
bm25_lm,168,0.0,0.0,0.0
bm25_lm,169,0.0,0.0,0.0
bm25_lm,170,0.0,0.0,0.0
bm25_lm,171,0.0,0.0,0.0
bm25_lm,173,0.0,0.0,0.0
bm25_lm,175,0.0,0.0,0.0
bm25_lm,176,0.0,0.0,0.0
bm25_lm,177,0.0,0.0,0.0
bm25_lm,181,0.0,0.0,0.0
bm25_lm,182,0.0,0.0,0.0
bm25_lm,183,0.0071,0.0,0.0651
bm25_lm,184,0.0,0.0,0.0
bm25_lm,187,0.0,0.0,0.0
bm25_lm,189,0.0,0.0,0.0
bm25_lm,190,0.0022,0.0,0.0227
bm25_lm,196,0.0035,0.0,0.0549
bm25_lm,200,0.0,0.0,0.0
bm25_lm,201,0.0,0.0,0.0
bm25_lm,202,0.0,0.0,0.0
bm25_lm,203,0.0014,0.0,0.0344
bm25_lm,204,0.0,0.0,0.0
bm25_lm,205,0.0,0.0,0.0
bm25_lm,206,0.0,0.0,0.0
bm25_lm,208,0.0,0.0,0.0
bm25_lm,209,0.0012,0.0,0.0279
bm25_lm,210,0.0019,0.0,0.044
bm25_lm,211,0.0317,0.0,0.1963
bm25_lm,212,0.1361,0.0,0.3382
bm25_lm,213,0.1295,0.0,0.307
bm25_lm,214,0.0,0.0,0.0
bm25_lm,215,0.0,0.0,0.0
bm25_lm,216,0.0,0.0,0.0
bm25_lm,217,0.0011,0.0,0.0407
bm25_lm,218,0.0,0.0,0.0
bm25_lm,219,0.0,0.0,0.0
bm25_lm,223,0.0,0.0,0.0
bm25_lm,224,0.0,0.0,0.0
bm25_lm,225,0.0186,0.0,0.1484
